Date,Time,Source IP Address,Destination IP address,Source Port,Destination Port
Jan 29,01:06:59,192.168.17.24,192.168.9.51,138,138
Jan 29,01:06:59,192.168.17.24,192.168.10.60,138,138
Jan 29,01:06:59,192.168.17.24,192.168.9.51,138,138
Jan 29,01:06:59,192.168.17.24,192.168.10.60,138,138
Jan 29,01:07:08,63.167.69.69,216.58.112.55,31105,1026
Jan 29,01:09:58,192.168.17.24,192.168.9.51,138,138
Jan 29,01:09:58,192.168.17.24,192.168.10.60,138,138
Jan 29,01:09:58,192.168.17.24,192.168.9.51,138,138
Jan 29,01:09:58,192.168.17.24,192.168.10.60,138,138
Jan 29,01:10:47,24.149.194.222,216.58.112.55,63242,40686
Jan 29,01:12:08,77.234.15.211,216.58.112.55,49577,25
Jan 29,01:13:04,192.168.17.24,192.168.9.51,138,138
Jan 29,01:13:04,192.168.17.24,192.168.10.60,138,138
Jan 29,01:13:04,192.168.17.24,192.168.9.51,138,138
Jan 29,01:13:04,192.168.17.24,192.168.10.60,138,138
Jan 29,01:15:02,72.230.93.214,216.58.112.55,62286,40686
Jan 29,01:15:04,67.173.3.23,216.58.112.55,54734,40686
Jan 29,01:15:05,75.171.122.220,216.58.112.55,60557,40686
Jan 29,01:15:05,68.81.84.44,216.58.112.55,61443,40686
Jan 29,01:15:07,67.173.3.23,216.58.112.55,54734,40686
Jan 29,01:15:23,75.132.195.128,216.58.112.55,1840,40686
Jan 29,01:16:04,192.168.17.24,192.168.9.51,138,138
Jan 29,01:16:04,192.168.17.24,192.168.10.60,138,138
Jan 29,01:16:04,192.168.17.24,192.168.9.51,138,138
Jan 29,01:16:04,192.168.17.24,192.168.10.60,138,138
Jan 29,01:17:17,192.168.17.113,207.68.178.56,2566,80
Jan 29,01:17:20,192.168.17.113,207.68.178.56,2566,80
Jan 29,01:17:25,192.168.17.113,207.68.178.56,2566,80
Jan 29,01:17:34,192.168.17.113,207.68.178.56,2566,80
Jan 29,01:17:55,192.168.17.113,207.68.178.56,2566,80
Jan 29,01:18:10,24.64.35.180,216.58.112.55,31138,1026
Jan 29,01:18:10,24.64.35.180,216.58.112.55,31138,1027
Jan 29,01:18:10,24.64.35.180,216.58.112.55,31138,1028
Jan 29,01:18:14,122.162.219.240,216.58.112.55,52275,25
Jan 29,01:18:35,192.168.17.113,207.68.178.56,2566,80
Jan 29,01:19:13,192.168.17.24,192.168.9.51,138,138
Jan 29,01:19:13,192.168.17.24,192.168.10.60,138,138
Jan 29,01:19:13,192.168.17.24,192.168.9.51,138,138
Jan 29,01:19:13,192.168.17.24,192.168.10.60,138,138
Jan 29,01:19:23,24.64.103.146,216.58.112.55,16356,1026
Jan 29,01:19:23,24.64.103.146,216.58.112.55,16356,1027
Jan 29,01:19:23,24.64.103.146,216.58.112.55,16356,1028
Jan 29,01:19:29,137.1.220.101,216.58.112.55,31105,1026
Jan 29,01:19:45,192.168.17.11,10.97.14.25,123,123
Jan 29,01:22:11,192.168.17.24,192.168.9.51,138,138
Jan 29,01:22:11,192.168.17.24,192.168.10.60,138,138
Jan 29,01:22:11,192.168.17.24,192.168.9.51,138,138
Jan 29,01:22:11,192.168.17.24,192.168.10.60,138,138
Jan 29,01:23:00,207.68.178.56,216.58.112.55,80,2596
Jan 29,01:25:18,192.168.17.24,192.168.9.51,138,138
Jan 29,01:25:18,192.168.17.24,192.168.10.60,138,138
Jan 29,01:25:18,192.168.17.24,192.168.9.51,138,138
Jan 29,01:25:18,192.168.17.24,192.168.10.60,138,138
Jan 29,01:27:24,200.35.177.17,216.58.112.55,46510,25
Jan 29,01:27:24,200.119.135.100,216.58.112.55,46509,25
Jan 29,01:28:14,192.168.17.24,192.168.9.51,138,138
Jan 29,01:28:14,192.168.17.24,192.168.10.60,138,138
Jan 29,01:28:14,192.168.17.24,192.168.9.51,138,138
Jan 29,01:28:14,192.168.17.24,192.168.10.60,138,138
Jan 29,01:28:22,129.134.110.94,216.58.112.55,31105,1026
Jan 29,01:31:14,192.168.17.24,192.168.9.51,138,138
Jan 29,01:31:14,192.168.17.24,192.168.10.60,138,138
Jan 29,01:31:14,192.168.17.24,192.168.9.51,138,138
Jan 29,01:31:14,192.168.17.24,192.168.10.60,138,138
Jan 29,01:31:46,89.175.152.185,216.58.112.55,23318,25
Jan 29,01:34:18,122.167.238.130,216.58.112.55,27353,25
Jan 29,01:34:21,192.168.17.24,192.168.9.51,138,138
Jan 29,01:34:21,192.168.17.24,192.168.10.60,138,138
Jan 29,01:34:21,192.168.17.24,192.168.9.51,138,138
Jan 29,01:34:21,192.168.17.24,192.168.10.60,138,138
Jan 29,01:34:42,68.206.75.25,216.58.112.55,18422,40686
Jan 29,01:34:42,75.171.122.220,216.58.112.55,8870,40686
Jan 29,01:34:42,72.129.201.114,216.58.112.55,36319,40686
Jan 29,01:34:43,24.166.109.127,216.58.112.55,39765,40686
Jan 29,01:34:43,76.250.142.171,216.58.112.55,36318,40686
Jan 29,01:36:25,121.135.240.208,216.58.112.55,54320,25
Jan 29,01:36:52,192.168.17.11,10.97.14.25,123,123
Jan 29,01:37:31,192.168.17.24,192.168.9.51,138,138
Jan 29,01:37:31,192.168.17.24,192.168.10.60,138,138
Jan 29,01:37:31,192.168.17.24,192.168.9.51,138,138
